MODULES,Classes,routes ,functions,method,scenario,response,details
,,,,,,,
admin routes,,/api/getAssignedspaces,getAssignedSpaces,post,correct data,200 ok,"{""status_code"":200,""assignedSpaces"":[{""iknf"":""Demo1""}]}"
,,,,,wrong data,500 error,"{""status_code"":500,""detail"":""'224e772d8fa222f39191de24b806d4b9e8ab40f5855a2b1ad281bad65a27678c'"",""headers"":null}"
,,,,,empty,422 error,unprocessable entity
,,/api/getSpaceUseCases,get_use_cases,post,correct data,200 ok,"{""status_code"":200,""spaceUseCases"":{""CB1"":""ChatBot""}}"
,,,,,wrong data(empty),404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,/api/createHierarchy,create_spaces,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchy Created Successfully""}"
,,,,,wrong data(incorrect data),404 error,"{""status_code"":401,""detail"":""Space Not Found""}"
,,,,,wrong data (empty usecas),404 error,"{""status_code"":404,""detail"":""No use cases roles in application config database.""}"
,,/api/getUnassignedUsers,register,post,correct data,200 ok,"{""status_code"":200,""unassignedUsers"":[{""userId"":""E8YU"",""username"":""trainer1""},{""userId"":""OEHG"",""username"":""trainee4""}]}"
,,,,,wrong data,401 error,"{""status_code"":401,""detail"":""Hierarchy Not Found""}"
,,/api/assignHierarchy,register,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchy Assigned Successfully""}"
,,,,,wrong data(empty ),401 error,"{""status_code"":401,""detail"":""Hierarchy Not Found""}"
,,/api/unassignHierarchy,register,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchy Unassigned Successfully""}"
,,,,,wrong data(empty),401 error,"{""status_code"":401,""detail"":""Hierarchy Not Found""}"
,,/api/getCreatedHierarchy,getCreatedHierarchy,post,correct data,200 ok,"{""status_code"":200,""hierarchys"":[{""hierarchyName"":""chatbot"",""hierarchyId"":""xyac""},{""hierarchyName"":""skillpractice"",""hierarchyId"":""sgzd""},{""hierarchyName"":""hbbs"",""hierarchyId"":""pzte""}]}"
,,,,,wrong data(empty),401 error,"{""status_code"":401,""detail"":""Space Not Found""}"
,,/api/getHierarchyRoles,getHierarchyRoles,post,correct data,200 ok,"{""status_code"":200,""hierarchyRoles"":{""R1"":""Traineer"",""R2"":""Trainee""}}"
,,,,,wrong data,401 error,"{""status_code"":401,""detail"":""hierarchy Not Found""}"
,,/api/getHierarchyDetails,getHierarchyDetails,post,correct data,200 ok,"{""status_code"":200,""hierarchyDetails"":[{""hierarchyName"":""chatbot"",""hierarchyId"":""xyac"",""spaceId"":""iknf"","
,,,,,wrong data,500 error,"{""status_code"":500,""detail"":""'224e772d8fa222f39191de24b806d4b9e8ab40f5855a2b1ad281bad65a27678c'"",""headers"":null}"
,,,,,wrong data(empty),422 error,unprocessable entity
,,/api/deleteHierarchy,deleteHierarchy,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchies Removed Successfully""}"
,,,,,wrong data(empty),401 error,"{""status_code"":401,""detail"":""HierarchyId Id tjjryjt6d Not Found""}"
,,/api/updateHierarchyName,updateHierarchyName,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchy Name Updated Successfully""}"
,,,,,wrong data(empty),401 error,"{""status_code"":401,""detail"":""Hierarchy Id  Not Found""}"
,,/api/getUserDetails,getUserDetails,post,correct data,200 ok,"{""status_code"":200,""userDetails"":[{""userId"":""E8YU"",""username"":""trainer"",""email"":""siva2@gmail.com"",""role"":{""user"":{}},""activeStatus"":""inactive""}"
,,,,,wrong data,422 error,unprocessable entity
,,/api/updateUserDetails,updateUserDetails,post,correct data,200 ok,"{""status_code"":200,""detail"":""User Details Updated Successfully""}"
,,,,,wrong data (empty data),404 error,"{""status_code"":404,""detail"":""User Not Found""}"
,,,,,wrong data(existed data),302 error,"{""status_code"":302,""detail"":""New Email or New User Name Already Existed""}"
,,/api/addHierarchyConfig,addHierarchyConfig,post,correct data,200 ok,"{""status_code"":200,""detail"":""Hierarchy Config Added Successfully""}"
,,,,,wrong data,401 error,"{""status_code"":401,""detail"":""Hierarchy Id sgzd Not Found""}"
,,,,,,,
authenticationRoutes(7),,/api/login,login,post,correct data,200 ok,"{""message"":""Authentication successful"",""userName"":""superadmin"",""userId"":""TR2W"",""refreshToken"":""eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9"
,,,,,incorrect password,401 error,"{""status_code"":401,""detail"":""Invalid Credentials""}"
,,,,,null,404 error,"{""status_code"":404,""detail"":""Invalid Credentials""}"
,,,,,empty,500 error,"{""status_code"":500,""detail"":""name 'login' is not defined""}"
,,,,,,,
super adminRoutes(15),,/api/getUseCases,getUseCases,post,correct data,200 ok,"{""status_code"":200,""usecases"":{""GT1"":""SkillPractice"",""CB1"":""ChatBot""}}"
,,,,,empty,404 error,"{""detail"":[{""type"":""json_invalid"",""loc"":[""body"",21],""msg"":""JSON decode error"",""input"":{},""ctx"":{""error"":""Expecting property name enclosed in double quotes""}}]}"
,,/api/createSpaces,createSpaces,post,correct data,200 ok,"{""status_code"":200,""detail"":""Space Created Successfully""}"
,,,,,already existed data,409 error,"{""status_code"":409,""detail"":""Space Name Already Existed""}"
,,,,,empty,409 error,"{""status_code"":409,""detail"":""Space Name Already Existed""}"
,,/api/getSpaces,getSpaces,post,correct data,200 ok,"{""status_code"":200,""spaces"":{""iknf"":""Demo"",""uldv"":""manoj"",""edab"":""demo1"",""zwqo"":""java"",""dcpx"":""selenium"",""fbbd"":""pranay"",""twux"":""""}}"
,,,,,empty,422 error,unprocessable entity
,,/api/getunassignedAdmins,getunassignedAdmins,post,correct data,200 ok,"{""status_code"":200,""unassignedAdmins"":[{""userId"":""27J4"",""username"":""admin1""},{""userId"":""VBL1"",""username"":""k""},{""userId"":""27J4"",""username"":""admin""}]}"
,,,,,spacenull,401 error,"{""status_code"":401,""detail"":""Space Not Found""}"
,,/api/assignSpace,assignSpace,post,correct data,200 ok,"{""status_code"":200,""detail"":""Space fbbd assigned to user 27J4 successfully.""}"
,,,,,empty,404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,,,,empty(user),404 error,"{""status_code"":404,""detail"":""Space Not Found""}"
,,,,,already existed data409 error,,"{""status_code"":409,""detail"":""Space Already Assigned To Admin""}"
,,,,,user id (empty),404 error,"{""status_code"":404,""detail"":""User not found.""}"
,,/api/getassignedAdmins,getassignedAdmins,post,correct data,200 ok,"{""status_code"":200,""assignedAdmins"":[{""userId"":""27J4"",""username"":""admin1""},{""userId"":""27J4"",""username"":""admin""}]}"
,,,,,wrong data,404 error,"{""status_code"":404,""detail"":""No Admins Found""}"
,,/api/unassignSpace,unassignSpace,post,correct data,200 ok,"{""status_code"":200,""detail"":""Space fbbd unassigned from user 27J4 successfully.""}"
,,,,,wrong data,404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: jrsgnij""}"
,,,,,empty,404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: jrsgnij""}"
,,/api/getUnassignedUseCases,getUnassignedUseCases,post,correct data,200 ok,"{""status_code"":200,""unassignedUseCases"":{""CB1"":""ChatBot""}}"
,,,,,empty,404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,/api/getAsssignedUseCases,getAsssignedUseCases,post,correct data,200 ok,"{""status_code"":200,""assignedUseCases"":{""GT1"":""SkillPractice""}}"
,,,,,empty,404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,/api/assignUseCase,assignUseCases,post,correct data,200 ok,"{""status_code"":200,""detail"":""Use Cases ['GT1'] Added To Space edab""}"
,,,,,wrong usecase,404 error,"{""status_code"":404,""detail"":""UseCase Not Found for useCaseId GT2""}"
,,,,,"wrong data, empty",404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: edasdf""}"
,,/api/unassignUseCase,unassignUseCases,post,correct data,200 ok,"{""status_code"":200,""detail"":""Use Cases ['GT1'] Removed From Space edab Successfully""}"
,,,,,"wrong data,empty",404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,/api/deleteSpaces,deleteSpaces,post,correct data,200 ok,"{""status_code"":200,""detail"":""Spaces Removed Successfully""}"
,,,,,"empty , wrong data",404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: ""}"
,,/api/updateSpaceName,updateSpaceName,post,correct data,200 ok ,"{""status_code"":200,""detail"":""Spaces Name Updated Successfully""}"
,,,,,"empty space ,wrong data",404 error,"{""status_code"":404,""detail"":""Space Not Found for spaceId: cbgn""}"
,,/api/getAdminDetails,getAdminDetails,post,correct data,200 ok,"{""status_code"":200,""adminDetails"":[{""userId"":""27J4"",""username"":""admin1"",""email"":""admin1@gmail.com"",""activeStatus"":""active""}"
,,,,,empty,422 error,unprocessable entity
,,/api/updateAdminDetails,updateAdminDetails,post,correct data,200 ok,"{""status_code"":200,""detail"":""Admin Details Updated Successfully""}"
,,,,,wrong mail,500 error,"{""status_code"":500,""detail"":""'newEmail'""}"
,,,,,,,
user Routes(2),,/api/getHierarchyAndSpaceNames,getHierarchyAndSpaceNames,,,,
,,/api/getUseCaseId,getUseCaseId,,,,
